Mouse Markers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,Epithelial,mesenchymal,mesenchymal,mesenchymal,mesenchymal,mesenchymal,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Other,Other,Other,Other,Other,Other,Other,Other,Other
Epithelial,proliferation,ISC,goblet,paneth,enteroendocrine,tuft,enterocytes,M,mesenchymal,telocyte,trophocyte,Myofibroblasts,,Immune,Macrophages,ILCs,T,NK,B,Plasma,DC,Mast,Monocytes,Myeloids,pre-Haematopoietic,endothelial,Pericyte,Neuroendocrine,cardiomyocyte,WNT,BMP,FGF,Notch
Epcam,Ccnd1,Lgr5,Muc2,Lyz1,Chga,Dclk1,Hes1,Gp2,Pdgfra,Foxl1,Cd81,Acta2,,Ptprc,Adgre1,Rorc,Cd3d,Ncr1,Cd19,Cd27,Itgae,Mcpt1,Itgam,Itgax,Kit,Pecam1,Cspg4,Nrxn1,,,,,
Vil1,Mki67,Sox9,Tff3,Mmp7,Neurog3,Il17rb,Sis,Fut1,Pdgfrb,Lmo3,Grem1,,,,Cd14,Thy1,Cd3e,Tnf,Pax5,Cd38,,Kit,,HLA-DR,Ly6a,Vwf,,,,,,,
,,Olfm4,Klf4,Dll4,Chgb,Pou2f3,Elf3,Spib,Cd34,Agt,,,,,Cx3cr1,Ifng,Cd4,,Ms4a1,Prdm1,,,,,,,,,,,,,
,,,,Nupr1,Nkx2-2,,,Pglyrp1,Gli1,Nbl1,,,,,,Il22,Cd8a,,Ly6d,Sdc1,,,,,,,,,,,,,
,,,,,Neurod1,,,,,Sfrp1,,,,,,Il17a,,,Mzb1,,,,,,,,,,,,,,
